imageId,distance(km),imageFraction
C0919419,106065279,0.06274
C0919425,106060456,0.06274
C0919432,106054829,0.06274
C0919439,106049202,0.06275
C0919446,106043575,0.00839
C0920723,105435078,0.06311
C0920728,105266221,0.00046
C0920743,105419001,0.06312
C0920749,105414178,0.06312
C0920755,105409355,0.06313
C0920802,105403728,0.06313
C0920809,105398101,0.06313
C0921209,105205175,0.06325
C0921215,105200352,0.06325
C0921221,105195529,0.06326
C0921229,105189098,0.06326
C0921236,105183471,0.06326
C0922714,104477680,0.06369
C0922719,104442675,0.00046
C0922732,99872003,0.00046
C0922738,99867495,0.00046
C0922744,99862988,0.00046
C0922832,104414979,0.00852
C0922838,104410155,0.00852
C0922845,104404528,0.06373
C0922852,104398901,0.06374
C0922901,104391667,0.00852
C0922918,104378001,0.06375
C0922924,104373178,0.06375
C0922930,104368354,0.06376
C0922936,104363531,0.06376
C0922943,104357904,0.06376
C0922950,104352277,0.06377
C0922956,104347454,0.06377
C0923002,104342631,0.06377
C0923008,104337808,0.06378
C0923014,104332984,0.06378
C0923021,104327357,0.06378
C0923028,104321730,0.06379
C0923034,104316907,0.06379
C0923040,104312084,0.06379
C0923046,104307261,0.06379
C0923052,104302438,0.0638
C0923059,104296810,0.0638
C0923106,104291183,0.0638
C0923113,104285556,0.06381
C0923119,104280733,0.06381
C0923125,104275910,0.06381
C0923131,104271087,0.06382
C0923137,104266264,0.06382
C0923144,104260636,0.06382
C0923151,104255009,0.06383
C0923157,104250186,0.06383
C0923203,104245363,0.06383
C0923209,104240540,0.06383
C0923215,104235717,0.06384
C0923222,104230090,0.06384
C0923229,104224463,0.06384
C0923235,104219639,0.06385
C0923241,104214816,0.06385
C0923247,104209993,0.06385
C0923253,104205170,0.06386
C0923300,104199543,0.06386
C0923307,104193916,0.06386
C0923314,104188289,0.06387
C0923320,104183465,0.06387
C0923326,104178642,0.06387
C0923332,104173819,0.06388
C0923338,104168996,0.06388
C0923345,104163369,0.06388
C0923352,104157742,0.06389
