
# retargeting.csv
# handle multitarget images here
# --------------------------------------------------------------------------------

# Can remap an old target to a new target, e.g. if the TARGET field 
# says Io but Jupiter is what the frame gets centered on, can say:
# C72222,Io,Jupiter

# In the future should be able to add a record to include the frame in the Io movie as well,
# with appropriate x,y offsets to center the image on it:
# C72222a,Io,Io,245,89

# Note that oldTarget is not strictly necessary for retargeting info, 
# but it's here for context - it's double checked on generating a movie.

# This file does NOT need to be sorted - right now it's all read into memory for simplicity.
# Hopefully it won't get too big - if it does, might need to join on it.

# x,y are not used yet

imageId,oldTarget,newTarget,x,y

# Jupiter Voyager 1
# ----------------------------------------

# Amalthea
# narrow
# C2619043,Uranus,SomeMoon
# C2619050,Uranus,SomeMoon
# C2619126,Uranus,SomeMoon
# C2619132,Uranus,SomeMoon
# C2619208,Uranus,SomeMoon
# C2619226,Uranus,SomeMoon
# C2619232,Uranus,SomeMoon
# C2619315,Uranus,SomeMoon
# C2619321,Uranus,SomeMoon
# C2619351,Uranus,SomeMoon
# C2619357,Uranus,SomeMoon
# C2619403,Uranus,SomeMoon
# C2619415,Uranus,SomeMoon
# C2619421,Uranus,SomeMoon
# C2619428,Uranus,SomeMoon
# C2619510,Uranus,SomeMoon
# C2619540,Uranus,SomeMoon
# C2619546,Uranus,SomeMoon
# C2619604,Uranus,SomeMoon
# C2619610,Uranus,SomeMoon
# C2619616,Uranus,SomeMoon
# C2619622,Uranus,SomeMoon
# C2619652,Uranus,SomeMoon
# C2619658,Uranus,SomeMoon
# C2619740,Uranus,SomeMoon
# C2621933,Uranus,SomeMoon
# C2621939,Uranus,SomeMoon
# C2621945,Uranus,SomeMoon
# C2621951,Uranus,SomeMoon
# C2622033,Uranus,SomeMoon
# C2622039,Uranus,SomeMoon
# C2622057,Uranus,SomeMoon
# C2622103,Uranus,SomeMoon
# C2622110,Uranus,SomeMoon
# C2622116,Uranus,SomeMoon
# C2622158,Uranus,SomeMoon
# C2622205,Uranus,SomeMoon
# C2622238,Uranus,SomeMoon
# C2622244,Uranus,SomeMoon
# C2622250,Uranus,SomeMoon
# C2622256,Uranus,SomeMoon
# C2622338,Uranus,SomeMoon
# C2622344,Uranus,SomeMoon
# C2622402,Uranus,SomeMoon
# C2622414,Uranus,SomeMoon
# C2622420,Uranus,SomeMoon
# C2622456,Uranus,SomeMoon
# C2630358,Uranus,SomeMoon
# C2630404,Uranus,SomeMoon
# C2630416,Uranus,SomeMoon
# C2630434,Uranus,SomeMoon
# C2630440,Uranus,SomeMoon
# C2630459,Uranus,SomeMoon
# C2630517,Uranus,SomeMoon
# C2630535,Uranus,SomeMoon
# C2630548,Uranus,SomeMoon
# C2630625,Uranus,SomeMoon
# C2630655,Uranus,SomeMoon
# C2630713,Uranus,SomeMoon
# C2630732,Uranus,SomeMoon
# C2630750,Uranus,SomeMoon
# C2636232,Uranus,SomeMoon
# C2636256,Uranus,SomeMoon
# C2636544,Uranus,SomeMoon
# C2636556,Uranus,SomeMoon
# C2636602,Uranus,SomeMoon
# C2636608,Uranus,SomeMoon
# C2648927,Uranus,SomeMoon
# C2648933,Uranus,SomeMoon
# C2648939,Uranus,SomeMoon
# C2648945,Uranus,SomeMoon
# C2648951,Uranus,SomeMoon
# C2648957,Uranus,SomeMoon
# C2649003,Uranus,SomeMoon
# C2649009,Uranus,SomeMoon
# C2649051,Uranus,SomeMoon
# C2649057,Uranus,SomeMoon
# C2649103,Uranus,SomeMoon
# C2649109,Uranus,SomeMoon
# C2649151,Uranus,SomeMoon
# C2649157,Uranus,SomeMoon
# C2649203,Uranus,SomeMoon
# C2649209,Uranus,SomeMoon
