fileid,x,y,radius
huge,0,0,0
limb,0,0,0
noise,0,0,0
blank,0,0,0
point,400,400,1
edge,-40,400,100
small,0,0,0
saturn,378,309,76
crescent,415,395,123
ok,668,358,124
dimsmall,286,466,22
limb2,428,377,348
large,406,515,437
sharp,256,381,125
