"VGISS_7201","DATA/C24478XX/C2447804_RAW.LBL    ","C2447804_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0013U2-079",24478.04,"1985-11-06T18:09:43","1985-11-06T20:49:13","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","BLUE  ",2,   3.8400,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447810_RAW.LBL    ","C2447810_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0019U2-079",24478.10,"1985-11-06T18:14:31","1985-11-06T20:54:01","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447816_RAW.LBL    ","C2447816_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0025U2-079",24478.16,"1985-11-06T18:19:19","1985-11-06T20:58:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",4,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447822_RAW.LBL    ","C2447822_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0031U2-079",24478.22,"1985-11-06T18:24:07","1985-11-06T21:03:37","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",5,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447827_RAW.LBL    ","C2447827_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0036U2-079",24478.27,"1985-11-06T18:28:07","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_U ",6,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOS DYNAMICS IMAGES                               ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447833_RAW.LBL    ","C2447833_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0042U2-079",24478.33,"1985-11-06T18:32:55","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOS DYNAMICS IMAGES                               ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447838_RAW.LBL    ","C2447838_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0047U2-079",24478.38,"1985-11-06T18:36:55","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",6,  11.5200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447844_RAW.LBL    ","C2447844_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0053U2-079",24478.44,"1985-11-06T18:41:43","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447850_RAW.LBL    ","C2447850_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0059U2-079",24478.50,"1985-11-06T18:46:31","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447856_RAW.LBL    ","C2447856_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0065U2-079",24478.56,"1985-11-06T18:51:19","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","VIOLET",1,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
